INFO 2021-05-27 14:24:27,207 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 14:24:36,734 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 14:24:36,771 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 14:24:36,775 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:10:56,574 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 16:11:31,398 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:11:31,429 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:11:31,429 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:12:02,092 basehttp 154 "OPTIONS /users/login/ HTTP/1.1" 200 0
WARNING 2021-05-27 16:12:02,103 log 228 Bad Request: /users/login/
WARNING 2021-05-27 16:12:02,103 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
WARNING 2021-05-27 16:12:20,191 log 228 Bad Request: /users/login/
WARNING 2021-05-27 16:12:20,192 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
WARNING 2021-05-27 16:12:23,142 log 228 Bad Request: /users/login/
WARNING 2021-05-27 16:12:23,143 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
INFO 2021-05-27 16:12:47,048 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:12:47,050 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:12:47,059 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
WARNING 2021-05-27 16:12:55,567 log 228 Bad Request: /users/login/
WARNING 2021-05-27 16:12:55,567 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
INFO 2021-05-27 16:13:07,818 autoreload 217 E:\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2021-05-27 16:13:09,251 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 16:13:09,888 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 16:13:09,928 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:13:09,929 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:13:09,933 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:13:18,681 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 16:13:18,714 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:13:18,715 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:13:18,719 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:21:25,600 autoreload 217 E:\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2021-05-27 16:21:27,274 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 16:26:57,237 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:26:57,242 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:26:57,244 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:27:08,846 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 16:27:08,882 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:27:08,890 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:27:08,893 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:27:36,051 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 16:27:36,077 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:27:36,081 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:27:36,085 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:29:58,257 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:29:59,401 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:29:59,416 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:29:59,417 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:30:21,084 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:36:10,934 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:36:20,351 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:36:20,361 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:36:20,365 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:36:28,495 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 16:36:28,519 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:36:28,519 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:36:28,528 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:37:53,349 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
